RESPID,INTERVIEW_START_W157,INTERVIEW_END_W157,DEVICE_TYPE_W157,SVYMODE_W157,LANG_W157,X_AGECAT_W157,X_EDUCCAT2_W157,EMPLSIT_W157,JOBNUM_W157,PAYTYPE_W157,JOBTYPEMOD_W157,INDUSTRYCOMBO_W157,LOOKLKLY_W157,JOBSEC_W157,FINDJOB_W157,JOBDUTYMOD_a_W157,JOBDUTYMOD_b_W157,JOBDUTYMOD_c_W157,JOBDUTYMOD_d_W157,NUMEMP_W157,JOBSAT_W157,WORKSATIS_a_W157,WORKSATIS_b_W157,WORKSATIS_c_W157,WORKSATIS_d_W157,WORKSATIS_e_W157,WORKSATIS_f_W157,WORKSATIS_g_W157,WORKSATIS_h_W157,WORKSATIS_i_W157,WORKSATIS_j_W157,WORKSATIS_k_W157,PAYRS_a_W157,PAYRS_b_W157,PAYRS_c_W157,PAYRS_d_W157,PAYRS_e_W157,JOBCAREER_W157,WRKRS_W157,JOBDO_W157,JOBRESP1_W157,JOBRESP2_a_W157,JOBRESP2_b_W157,JOBRESP2_c_W157,WFHOPTION_W157,WFHPAST_W157,WFHCURR_W157,WFHDAYOPT_W157,WFHPOSTCVDMOD_W157,WFHSTAYJOB_W157,WFHIMPACT_a_W157,WFHIMPACT_b_W157,WFHIMPACT_c_W157,WFHIMPACT_d_W157,WFHIMPACT_e_W157,WFHIMPACT_f_W157,REMOTECALLS1_W157,REMOTECALLS4_W157,TRACKKNOW_a_W157,TRACKKNOW_b_W157,TRACKKNOW_c_W157,TRACKKNOW_d_W157,TRACKKNOW_e_W157,TRACKKNOW_f_W157,TRACKVIEW_W157,COVIDMEASURE_W157,TRAINNEED_W157,TRAINWAY1_W157,TRAINWAY2_W157,TRAINWAY3_W157,TRAINWAY4_W157,TRAINWAY5_W157,GOTTRAIN_W157,TRAINRS_a_W157,TRAINRS_b_W157,TRAINRS_c_W157,TRAINRS_d_W157,TRAINRS_e_W157,TRAINRS_f_W157,AIWRKTRAIN_W157,NOTRAINRS_a_W157,NOTRAINRS_b_W157,NOTRAINRS_c_W157,NOTRAINRS_d_W157,NOTRAINRS_e_W157,SKILLIMP_a_W157,SKILLIMP_b_W157,SKILLIMP_c_W157,SKILLIMP_d_W157,SKILLIMP_e_W157,SKILLIMP_f_W157,SKILLIMP_g_W157,SKILLIMP_h_W157,SKILLIMP_i_W157,AIWRKHEARD_W157,AIWRKFEEL_a_W157,AIWRKFEEL_b_W157,AIWRKFEEL_c_W157,AIWRKFEEL_d_W157,AIWRKDONE1_W157,AIWRKDONE2_W157,AIWRKOPPO_W157,CHATWRKHRD_W157,CHATWRK_W157,CHATWRKUSE_a_W157,CHATWRKUSE_b_W157,CHATWRKUSE_c_W157,CHATWRKUSE_d_W157,CHATWRKUSE_e_W157,CHATWRKUSE_f_W157,CHATWRKUSE_g_W157,CHATWRKIMP_a_W157,CHATWRKIMP_b_W157,NOCHATUSE_a_W157,NOCHATUSE_b_W157,NOCHATUSE_c_W157,NOCHATUSE_d_W157,CHATWRKPLC_W157,WRKDEI_W157,DIVEFFORT_W157,F_METRO,F_CREGION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSTR_FINAL,F_PARTYLNCLOSE_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W157
15700011,08-Oct-2024 17:36:04,08-Oct-2024 17:51:32,1,1,9,2,3,1,1,1,1,3,5,2,3,2,1,1,2,3,3,2,3,3,3,2,2,3,3,6,3,3,,,,,,3,,3,3,1,1,1,1,5,1,,3,3,3,3,3,3,3,3,2,1,1,2,1,2,3,2,4,,1,,,,,,1,1,3,3,1,1,3,2,,,,,,2,2,3,3,2,2,2,2,2,1,1,1,2,2,5,5,4,1,4,2,2,2,2,2,2,2,99,3,,,,,3,1,3,1,4,2,2,1,2,3,1,7,99,99,3,99,1,11,,4,6,3,2,,3,2,9,1,99,99,1,2,99,1.2148007364700006
15700012,08-Oct-2024 14:41:00,08-Oct-2024 14:49:23,1,1,9,3,2,1,1,1,1,7,1,5,5,1,2,2,2,5,5,5,5,5,5,3,5,5,5,3,5,5,1,1,1,1,1,3,,3,4,4,3,5,2,5,,,1,,,,,,,,4,,1,2,1,4,1,3,1,1,1,,,,,,1,3,3,1,3,3,1,2,,,,,,2,2,2,2,2,2,2,5,2,2,2,2,1,1,5,5,2,3,,,,,,,,,,,,,,,,2,1,1,2,2,3,1,3,2,2,,1,1,1,1,6,2,2,2,5,1,,2,,1,1,1,4,2,1,2,2,0.9323142617827687
15700013,12-Oct-2024 20:03:57,12-Oct-2024 20:18:23,3,1,9,2,6,1,3,3,4,1,1,3,4,2,2,1,2,4,2,,,,,,,,,,,,,,,,,2,,3,2,1,1,1,1,6,1,,3,,,,,,,,1,2,,,,,,,,,2,,,,,2,2,,,,,,,,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,5,2,2,1,5,,,,,,,,,,2,1,3,,,1,,1,4,1,2,2,1,6,2,,1,1,1,1,6,12,,3,6,2,,2,,2,4,1,2,4,1,1,1,0.42333629273083445
15700014,08-Oct-2024 16:14:53,08-Oct-2024 16:21:41,1,1,9,2,6,1,2,2,4,11,5,4,5,1,2,1,2,6,4,,,,,,,,,,,,,,,,,3,,3,4,6,7,3,2,5,,,3,,,,,,,,3,,,,,,,,,,2,,,,,4,1,2,3,1,3,3,3,2,,,,,,4,4,3,4,5,1,1,2,4,2,2,2,1,2,5,5,2,2,5,,,,,,,,,,3,3,1,,,1,,1,2,1,2,1,1,6,2,,1,1,1,1,1,10,,3,6,2,,1,,2,4,1,7,4,1,2,2,0.6165850218342259
15700015,09-Oct-2024 12:38:21,09-Oct-2024 13:13:32,3,1,9,3,3,2,1,2,1,6,5,1,3,2,2,1,1,4,2,3,3,2,2,2,1,1,2,6,1,1,,,,,,3,,2,2,1,1,2,1,1,1,,1,5,3,1,3,3,3,3,1,1,1,3,1,1,3,1,3,,1,,,,,,1,1,3,3,1,1,3,1,,,,,,1,1,2,5,2,2,2,1,1,2,2,2,2,1,4,6,2,2,5,,,,,,,,,,1,1,1,2,3,1,4,1,3,2,3,1,2,3,2,,1,2,2,1,1,1,1,1,2,3,2,,1,2,4,1,1,4,1,1,1,0.5079073815437773
15700016,11-Oct-2024 16:44:39,11-Oct-2024 16:49:44,1,1,9,1,4,1,1,2,99,2,5,2,4,1,1,1,2,6,3,3,3,3,3,2,2,3,3,3,1,3,,,,,,1,,3,2,2,2,2,2,5,,,3,,,,,,,,1,1,1,2,2,2,2,2,3,3,1,,,,,,1,2,3,3,1,1,3,2,,,,,,1,1,2,4,4,4,4,4,2,2,2,2,2,2,4,4,3,2,5,,,,,,,,,,3,3,2,3,3,1,3,2,2,3,1,2,2,4,2,,1,1,1,1,2,10,,3,5,2,,2,,2,4,1,1,5,1,2,1,1.261281305191887
15700017,11-Oct-2024 10:15:06,11-Oct-2024 10:24:23,3,1,9,3,3,1,1,1,1,2,4,3,4,2,1,1,1,3,3,3,3,4,5,3,3,5,3,6,2,1,,,,,,3,,3,4,3,2,2,1,5,2,1,2,5,4,1,3,1,3,4,3,,1,1,2,1,3,3,3,3,2,,5,,,,2,,,,,,,,3,1,1,3,3,1,1,1,3,4,2,2,3,2,3,,,,,,,,3,,,,,,,,,,,,,,,,1,2,1,3,2,3,2,2,3,2,,4,2,2,4,6,1,2,1,5,2,,2,,2,3,1,5,3,1,1,2,0.5116646216040176
15700018,09-Oct-2024 14:15:29,09-Oct-2024 14:22:32,1,1,9,3,5,1,1,1,1,3,5,2,1,1,2,1,2,6,2,2,2,2,3,2,1,2,1,2,1,1,,,,,,1,,3,3,1,2,2,1,1,1,,1,1,3,2,3,2,3,3,3,,2,2,2,3,1,3,3,,2,,,,4,,1,1,3,3,1,1,3,2,,,,,,2,2,3,3,3,2,3,3,2,2,1,2,1,2,4,4,3,2,5,,,,,,,,,,1,1,1,3,3,2,1,1,3,3,3,1,1,5,2,,1,1,1,1,1,1,1,1,2,1,,1,,1,1,1,9,2,1,2,3,0.7283613853051738
15700019,10-Oct-2024 22:31:06,10-Oct-2024 22:38:49,3,1,9,2,3,1,1,1,1,1,5,2,4,2,2,2,2,6,3,2,2,2,2,3,2,3,3,6,3,1,,,,,,1,,1,2,1,1,8,1,5,1,,1,3,3,1,4,1,3,3,1,1,2,2,1,2,2,2,3,,1,,,,,,2,,,,,,,,3,3,3,3,1,2,3,4,4,4,3,3,4,2,2,1,1,2,2,5,3,4,2,5,,,,,,,,,,3,3,2,3,3,3,1,1,4,1,2,1,2,3,2,,1,1,1,1,6,12,,3,6,4,2,,5,2,3,2,9,3,1,2,3,0.64452090525049055
15700020,10-Oct-2024 14:58:26,10-Oct-2024 15:07:01,3,1,9,2,5,1,1,1,1,9,3,3,3,2,1,1,1,6,3,4,4,3,3,3,2,2,2,6,2,1,3,1,2,3,1,1,,3,3,1,1,2,1,3,2,2,3,2,3,4,4,3,3,3,1,1,2,1,2,2,2,2,3,2,1,,,,,,1,1,3,3,1,3,3,1,,,,,,1,1,1,3,2,1,1,2,1,1,1,2,2,2,4,3,3,1,2,1,1,2,1,2,2,2,4,3,,,,,1,2,1,1,1,2,2,2,1,5,2,,1,5,4,1,1,1,2,1,5,3,1,,4,1,2,1,9,3,1,1,2,0.5823744504229141
15700021,08-Oct-2024 17:42:46,08-Oct-2024 18:07:41,3,1,9,2,3,1,1,1,1,9,4,2,3,2,2,1,1,1,3,2,2,4,4,1,2,3,4,6,1,1,,,,,,3,,2,3,1,1,2,1,5,1,,1,4,3,1,4,1,3,3,1,1,2,2,2,2,1,2,3,,1,,,,,,2,,,,,,,,3,3,3,3,1,1,1,2,3,3,1,3,2,1,1,1,1,2,2,4,4,3,1,4,2,2,2,2,1,1,2,2,2,,,,,3,1,,1,4,3,2,1,2,3,2,,1,1,1,1,1,10,,3,5,2,,2,,2,4,1,9,4,1,2,2,0.7273354152647495
15700022,09-Oct-2024 16:11:49,09-Oct-2024 16:23:32,3,1,9,3,4,1,1,1,1,6,4,2,4,2,1,1,1,6,2,3,4,3,3,3,3,3,3,4,3,3,2,1,1,1,1,1,,3,2,2,2,2,1,4,3,1,3,2,4,3,4,3,3,4,1,1,3,3,3,3,3,3,4,3,1,,,,,,2,,,,,,,,1,3,3,2,2,2,3,3,3,3,2,3,3,3,2,2,2,1,1,5,4,2,2,5,,,,,,,,,,2,2,2,2,2,1,3,1,2,2,3,2,2,4,2,,1,3,5,1,1,2,2,2,4,2,,1,,2,3,1,9,3,1,2,2,0.3914044306700291
15700023,08-Oct-2024 21:38:56,08-Oct-2024 21:45:28,1,1,9,3,3,1,1,1,1,11,5,2,4,2,1,1,1,1,3,2,2,3,3,2,2,3,3,2,3,4,,,,,,1,,3,3,2,2,2,2,5,,,3,,,,,,,,3,,2,2,2,2,2,2,2,3,1,,,,,,2,,,,,,,,3,3,3,3,1,2,2,3,3,3,3,3,3,3,2,2,2,1,1,4,3,4,2,4,2,2,2,2,1,2,2,3,3,,,,,3,3,,2,3,3,3,2,2,3,2,,1,1,1,1,1,2,2,2,5,3,1,,4,1,2,1,5,3,2,2,2,0.9862064061258075
15700024,10-Oct-2024 14:29:19,10-Oct-2024 14:41:45,1,1,9,2,5,1,1,1,1,11,5,1,4,2,1,1,1,1,2,2,2,1,2,2,2,3,2,3,1,1,,,,,,1,,3,1,1,1,2,1,3,3,1,3,2,3,1,4,2,3,4,1,2,2,2,1,2,2,2,3,3,1,,,,,,1,2,3,3,3,1,3,1,,,,,,1,2,1,4,3,2,4,2,2,1,1,1,2,1,4,3,3,1,3,1,1,2,1,1,2,2,3,3,,,,,3,1,3,1,4,2,2,2,1,5,2,,1,1,1,1,1,1,1,1,2,3,2,,3,2,3,1,9,3,1,1,3,0.5450841604442949
15700025,08-Oct-2024 16:02:42,08-Oct-2024 16:13:31,1,1,9,1,4,2,1,2,4,1,2,3,5,1,2,1,2,6,4,,,,,,,,,,,,,,,,,3,,3,4,6,7,3,2,6,,,1,,,,,,,,1,1,,,,,,,,,2,,,1,,,1,2,3,3,3,3,2,2,,,,,,1,1,1,1,1,1,1,1,1,2,2,2,1,1,4,4,2,3,,,,,,,,,,,,,,,,3,,1,3,2,1,2,2,4,2,,1,1,1,1,6,1,2,1,6,3,1,,3,1,2,3,1,3,1,2,1,3.7829322247591985
15700026,10-Oct-2024 02:23:58,10-Oct-2024 02:30:42,1,1,9,2,5,1,1,2,1,2,3,1,1,1,1,1,1,5,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,1,,2,1,3,2,2,2,5,,,2,,,,,,,,3,,1,2,1,2,2,2,3,1,1,,,,,,1,1,1,1,1,1,1,2,,,,,,2,2,1,2,2,2,2,2,2,2,1,1,1,1,5,4,2,2,5,,,,,,,,,,3,3,3,3,3,1,3,1,4,1,2,1,1,5,2,,1,3,5,1,6,12,,3,5,4,1,,4,1,2,1,99,3,1,2,99,0.5444788679450367
15700027,09-Oct-2024 22:37:11,09-Oct-2024 22:48:08,1,1,9,2,5,1,1,1,1,9,2,3,4,2,1,1,1,6,3,3,3,3,2,2,2,3,3,4,2,2,,,,,,1,,3,1,1,1,1,1,4,2,2,1,1,2,4,1,1,2,2,1,1,1,2,1,2,2,2,3,3,1,,,,,,1,1,1,1,2,1,1,1,,,,,,1,2,1,4,4,1,2,1,1,1,1,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,3,1,3,1,2,1,1,5,2,,3,3,5,4,1,8,,4,3,99,99,,,9,9,3,99,4,1,1,99,0.4123175096924387
15700028,08-Oct-2024 17:36:17,08-Oct-2024 18:01:14,1,1,9,3,3,1,1,1,3,5,5,2,4,2,2,1,2,3,1,1,2,3,1,1,1,1,1,1,2,3,,,,,,1,,3,2,2,1,8,2,5,,,5,,,,,,,,3,,1,1,2,3,3,2,3,2,2,,1,,,,1,3,3,3,1,1,3,2,,,,,,1,1,2,3,2,2,2,4,1,2,2,2,1,1,5,4,2,3,,,,,,,,,,,,,,,,3,3,1,1,3,3,2,2,3,2,,1,1,1,1,1,1,1,1,2,1,,1,,1,1,1,9,2,2,1,2,0.5965117440206587
15700029,08-Oct-2024 15:54:09,08-Oct-2024 16:07:47,1,1,9,2,6,1,2,1,3,8,5,1,1,2,1,1,1,1,1,1,1,1,1,2,1,4,3,2,2,1,,,,,,1,,3,1,2,2,1,1,5,3,1,4,1,4,3,4,4,5,5,3,,1,2,2,2,1,2,2,2,1,,,,,,1,1,3,3,3,3,3,2,,,,,,2,1,2,3,3,2,3,4,2,1,1,1,2,2,3,2,3,1,3,1,1,1,1,1,1,1,2,2,,,,,3,3,1,1,3,2,2,1,1,6,2,,1,1,1,1,1,1,1,1,2,1,,2,,1,2,1,9,3,1,1,2,0.5128571854185795
15700030,10-Oct-2024 13:06:31,10-Oct-2024 13:21:09,1,1,9,3,3,1,1,1,1,7,5,1,2,1,2,1,1,4,1,1,1,1,2,2,2,2,1,2,1,5,,,,,,1,,3,2,3,3,2,2,5,,,5,,,,,,,,4,,2,2,2,4,5,2,4,2,1,,,,,,2,,,,,,,,3,3,3,3,3,1,1,2,2,2,1,3,2,2,1,1,1,2,1,3,3,2,2,4,1,2,2,1,1,1,1,2,2,,,,,1,1,2,1,3,1,3,1,2,3,2,,1,2,2,1,6,1,1,1,2,2,,1,,2,4,1,4,5,2,1,2,0.6141533696332954
15700031,09-Oct-2024 09:29:20,09-Oct-2024 09:46:37,1,1,9,3,3,1,1,2,1,9,3,4,5,1,2,1,2,6,3,4,3,5,4,2,3,4,3,2,4,3,,,,,,3,,3,4,4,3,2,2,5,,,4,,,,,,,,1,2,1,1,1,1,1,6,3,2,2,,3,,,,1,1,3,3,1,1,3,1,,,,,,1,3,3,3,1,2,4,4,1,1,2,2,1,2,3,4,2,2,3,2,2,2,2,1,2,2,4,4,,,,,1,2,1,1,3,3,3,1,2,3,2,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,5,1,2,1,2,0.5360021114879183
15700032,09-Oct-2024 19:24:22,09-Oct-2024 19:29:57,3,1,9,2,4,1,1,2,1,6,5,2,2,2,2,1,1,6,3,1,3,3,3,3,4,3,3,1,4,3,,,,,,1,,3,3,2,2,2,1,5,3,1,2,4,4,1,4,2,3,4,1,1,1,3,2,3,3,2,3,1,2,,,2,,,1,1,1,1,2,1,1,2,,,,,,1,2,2,2,2,1,2,2,2,2,2,2,2,2,4,3,4,2,4,2,2,2,2,1,2,2,4,4,,,,,3,1,2,1,4,2,2,2,2,4,2,,1,4,4,1,6,10,,3,6,2,,1,,2,3,1,3,3,1,1,1,0.40928628743629863
15700033,10-Oct-2024 00:29:51,10-Oct-2024 00:36:58,1,1,9,2,5,1,2,1,3,5,4,1,5,2,2,1,1,5,3,4,2,3,2,3,2,3,3,1,2,5,,,,,,1,,3,3,2,3,2,2,2,,,2,,,,,,,,3,,2,3,3,1,3,3,3,3,1,,,,,,1,1,3,1,1,3,3,2,,,,,,2,1,2,4,4,1,2,3,1,2,2,2,1,1,5,3,4,1,5,,,,,,,,,,3,1,3,3,3,1,2,1,4,2,2,2,1,5,2,,3,3,5,4,1,1,2,1,2,4,2,,3,2,3,3,9,2,1,2,2,0.9844543807151188
